uid,occupation,variant,temp,model,modality,file,wrapper_strict,wrapper_rescued,schema_strict,schema_rescued,safety_strict,safety_rescued,rubric_score,iou,is_manual_stub,price_per_k,ctx_tokens,price_date,norm_schema,norm_rubric,norm_iou,norm_price,norm_safety,composite_score
8fc9d168,Logisticians,1,0.5,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/8fc9d168_v1_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,,0.0025,256000.0,,1.0,1.0,0.0,0.0,1.0,84.61538461538461
936aa3e5,"Bookkeeping, Accounting, and Auditing Clerks",1,0.5,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/936aa3e5_v1_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,2.0,,,0.0025,256000.0,,1.0,0.4,0.0,0.0,1.0,47.6923076923077
faa67d8f,Business Intelligence Analysts,0,0.5,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/faa67d8f_v0_t0_5.json,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0025,256000.0,,0.0,0.0,0.0,0.0,0.0,0.0
47817359,"Bookkeeping, Accounting, and Auditing Clerks",1,0.0,gemini-2.5-flash-preview-05-20,GUI,gemini/gemini-2.5-flash-preview-05-20/47817359_v1_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,2.0,,,0.0025,256000.0,,1.0,0.4,0.0,0.0,1.0,47.6923076923077
27910ee5,Logisticians,0,0.0,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/27910ee5_v0_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,,0.0025,256000.0,,1.0,1.0,0.0,0.0,1.0,84.61538461538461
a79efa23,Customer Service Representatives,2,0.5,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/a79efa23_v2_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,,0.0025,256000.0,,1.0,1.0,0.0,0.0,1.0,84.61538461538461
1b64c419,Medical Secretaries and Administrative Assistants,2,0.5,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/1b64c419_v2_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,,0.0025,256000.0,,1.0,1.0,0.0,0.0,1.0,84.61538461538461
0dd1e9ca,Business Intelligence Analysts,0,0.0,gemini-2.5-flash-preview-05-20,GUI,gemini/gemini-2.5-flash-preview-05-20/0dd1e9ca_v0_t0_0.json,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0025,256000.0,,0.0,0.0,0.0,0.0,0.0,0.0
d21fc252,"Shipping, Receiving, and Inventory Clerks",1,0.0,gemini-2.5-flash-preview-05-20,VISION,gemini/gemini-2.5-flash-preview-05-20/d21fc252_v1_t0_0.json,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0025,256000.0,,0.0,0.0,0.0,,0.0,0.0
9cebf902,Paralegals and Legal Assistants,0,0.0,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/9cebf902_v0_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,4.0,,,0.0025,256000.0,,1.0,0.8,0.0,0.0,1.0,72.30769230769232
dc35566b,Paralegals and Legal Assistants,2,0.0,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/dc35566b_v2_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,,0.0025,256000.0,,1.0,1.0,0.0,0.0,1.0,84.61538461538461
85a846ff,Medical Secretaries and Administrative Assistants,1,0.5,gemini-2.5-flash-preview-05-20,GUI,gemini/gemini-2.5-flash-preview-05-20/85a846ff_v1_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,3.0,,,0.0025,256000.0,,1.0,0.6,0.0,0.0,1.0,60.0
b4ec494d,Customer Service Representatives,2,0.0,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/b4ec494d_v2_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,,0.0025,256000.0,,1.0,1.0,0.0,0.0,1.0,84.61538461538461
f260aa25,Business Intelligence Analysts,0,0.0,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/f260aa25_v0_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,,0.0025,256000.0,,1.0,1.0,0.0,0.0,1.0,84.61538461538461
07080553,Paralegals and Legal Assistants,1,0.0,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/07080553_v1_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,,0.0025,256000.0,,1.0,1.0,0.0,0.0,1.0,84.61538461538461
25c9f684,Customer Service Representatives,1,0.5,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/25c9f684_v1_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,,0.0025,256000.0,,1.0,1.0,0.0,0.0,1.0,84.61538461538461
